# =====
# CALSPEC spectrum, resampled to the wavelength grid of LRS slit
# Extra broadening: x2.25 (<7 microns); x2.25 (>=7 microns)
# =====
# Wavelength (um)	Flux (Jy)
# =====
13.1532000000	0.0049149804
13.1686000000	0.0049038743
13.1838000000	0.0048929290
13.1990000000	0.0048819878
13.2140000000	0.0048711912
13.2289000000	0.0048604719
13.2438000000	0.0048497671
13.2587000000	0.0048390903
13.2735000000	0.0048285191
13.2884000000	0.0048179119
13.3032000000	0.0048074072
13.3181000000	0.0047968564
13.3330000000	0.0047863292
13.3480000000	0.0047757557
13.3629000000	0.0047652840
13.3778000000	0.0047548535
13.3927000000	0.0047444717
13.4075000000	0.0047342149
13.4223000000	0.0047240096
13.4370000000	0.0047139160
13.4517000000	0.0047038541
13.4664000000	0.0046938126
13.4810000000	0.0046838566
13.4956000000	0.0046739177
13.5102000000	0.0046640022
13.5248000000	0.0046541180
13.5393000000	0.0046443366
13.5538000000	0.0046345946
13.5682000000	0.0046249523
13.5827000000	0.0046152679
13.5971000000	0.0046056673
13.6115000000	0.0045960780
13.6258000000	0.0045865693
13.6400000000	0.0045771434
13.6543000000	0.0045676733
13.6686000000	0.0045582305
13.6828000000	0.0045488846
13.6971000000	0.0045395062
13.7114000000	0.0045301669
13.7257000000	0.0045208714
13.7399000000	0.0045116905
13.7543000000	0.0045024350
13.7686000000	0.0044932970
13.7828000000	0.0044842660
13.7971000000	0.0044752030
13.8112000000	0.0044662815
13.8254000000	0.0044573000
13.8393000000	0.0044485073
13.8533000000	0.0044396514
13.8672000000	0.0044308678
13.8811000000	0.0044220988
13.8949000000	0.0044134119
13.9087000000	0.0044047454
13.9224000000	0.0043961615
13.9361000000	0.0043875962
13.9499000000	0.0043789846
13.9635000000	0.0043705104
13.9772000000	0.0043619746
13.9908000000	0.0043534810
14.0046000000	0.0043448063
14.0182000000	0.0043361484
