# =====
# CALSPEC spectrum, resampled to the wavelength grid of LRS slit
# Extra broadening: x2.25 (<7 microns); x2.25 (>=7 microns)
# =====
# Wavelength (um)	Flux (Jy)
# =====
12.5690000000	0.0034365441
12.5853000000	0.0034285409
12.6015000000	0.0034210061
12.6176000000	0.0034137950
12.6336000000	0.0034067013
12.6496000000	0.0033994855
12.6656000000	0.0033920360
12.6817000000	0.0033842819
12.6978000000	0.0033762971
12.7139000000	0.0033681538
12.7300000000	0.0033599187
12.7461000000	0.0033516432
12.7623000000	0.0033433097
12.7783000000	0.0033350914
12.7941000000	0.0033269968
12.8099000000	0.0033189260
12.8258000000	0.0033108317
12.8416000000	0.0033028153
12.8574000000	0.0032948259
12.8732000000	0.0032868634
12.8891000000	0.0032788763
12.9050000000	0.0032709167
12.9209000000	0.0032629835
12.9368000000	0.0032550772
12.9526000000	0.0032472473
12.9684000000	0.0032394474
12.9841000000	0.0032317280
12.9996000000	0.0032241395
13.0150000000	0.0032166336
13.0303000000	0.0032092148
13.0457000000	0.0032017886
13.0609000000	0.0031945029
13.0763000000	0.0031871694
13.0915000000	0.0031799783
13.1070000000	0.0031726943
13.1223000000	0.0031655452
13.1378000000	0.0031583341
13.1532000000	0.0031511897
13.1686000000	0.0031440548
13.1838000000	0.0031370163
13.1990000000	0.0031299781
13.2140000000	0.0031230335
13.2289000000	0.0031161392
13.2438000000	0.0031092521
13.2587000000	0.0031023771
13.2735000000	0.0030955631
13.2884000000	0.0030887205
13.3032000000	0.0030819430
13.3181000000	0.0030751393
13.3330000000	0.0030683579
13.3480000000	0.0030615532
13.3629000000	0.0030548166
13.3778000000	0.0030481029
13.3927000000	0.0030414114
13.4075000000	0.0030347884
13.4223000000	0.0030281876
13.4370000000	0.0030216529
13.4517000000	0.0030151392
13.4664000000	0.0030086455
13.4810000000	0.0030022171
13.4956000000	0.0029958088
13.5102000000	0.0029894204
13.5248000000	0.0029830516
13.5393000000	0.0029767450
13.5538000000	0.0029704580
13.5682000000	0.0029642330
13.5827000000	0.0029579834
13.5971000000	0.0029517952
13.6115000000	0.0029456247
13.6258000000	0.0029395158
13.6400000000	0.0029334675
13.6543000000	0.0029273948
13.6686000000	0.0029213402
13.6828000000	0.0029153462
13.6971000000	0.0029093277
13.7114000000	0.0029033284
13.7257000000	0.0028973477
13.7399000000	0.0028914270
13.7543000000	0.0028854413
13.7686000000	0.0028795151
13.7828000000	0.0028736466
13.7971000000	0.0028677541
13.8112000000	0.0028619597
13.8254000000	0.0028561395
13.8393000000	0.0028504570
13.8533000000	0.0028447477
13.8672000000	0.0028390945
13.8811000000	0.0028334558
13.8949000000	0.0028278714
13.9087000000	0.0028222996
13.9224000000	0.0028167787
13.9361000000	0.0028112656
13.9499000000	0.0028057157
13.9635000000	0.0028002437
13.9772000000	0.0027947175
13.9908000000	0.0027891998
14.0046000000	0.0027835384
14.0182000000	0.0027778512
